Category,Fibre 1 Number,Fibre 1,Fibre 1 % Range,Fiber 2 Number,Fibre 2,Fibre 2 % Range,Fibre 3 Number,Fibre 3,Fibre 3 % Range,Fibre 4 Number,Fibre 4,Fibre 4 % Range,Fibre 5 Number,Fibre 5,Fibre 5 % Range,Total Findings,Layers,survey
Dresses and skirts,25,Viscose,71-80%,51,Metallic fibre (or other name of material fibre/yarn),10-20%,35,Polyester,<10%,37,Polypropylene,<10%,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,51-60%,25,Viscose,10-20%,35,Polyester,10-20%,30,Polyamide/nylon,10-20%,NA,NA,NA,2,0,Survey 1
Dresses and skirts,26,Acrylic,71-80%,35,Polyester,10-20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,51-60%,35,Polyester,31-40%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,2,1,Survey 1
Dresses and skirts,5,Cotton,51-60%,35,Polyester,41-50%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,2,1,Survey 1
Dresses and skirts,5,Cotton,61-70%,30,Polyamide/nylon,31-40%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,61-70%,30,Polyamide/nylon,10-20%,43,Elastane/spandex,10-20%,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,71-80%,30,Polyamide/nylon,21-30%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,81-90%,30,Polyamide/nylon,10-20%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,51-60%,35,Polyester,41-50%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,3,0,Survey 1
Dresses and skirts,5,Cotton,71-80%,35,Polyester,21-30%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,71-80%,35,Polyester,21-30%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,5,Cotton,81-90%,26,Acrylic,10-20%,35,Polyester,<10%,NA,NA,NA,NA,NA,NA,2,1,Survey 1
Dresses and skirts,5,Cotton,61-70%,35,Polyester,31-40%,25,Viscose,<10%,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Survey 1
Dresses and skirts,5,Cotton,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,71-80%,30,Polyamide/nylon,10-20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,51-60%,35,Polyester,41-50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,Survey 1
Dresses and skirts,5,Cotton,51-60%,35,Polyester,41-50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,61-70%,35,Polyester,31-40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,71-80%,35,Polyester,10-20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,35,Polyester,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,51-60%,25,Viscose,31-40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,5,Cotton,91-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,21,Cupro,51-60%,25,Viscose,41-50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,7,Flax/linen,61-70%,5,Cotton,31-40%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,3,0,Survey 1
Dresses and skirts,7,Flax/linen,51-60%,25,Viscose,41-50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,Survey 1
Dresses and skirts,33,Lyocell,61-70%,35,Polyester,21-30%,7,Flax/linen,10-20%,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,33,Lyocell,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,33,Lyocell,71-80%,7,Flax/linen,21-30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,22,Modal,61-70%,35,Polyester,31-40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,22,Modal,61-70%,35,Polyester,31-40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,22,Modal,71-80%,35,Polyester,21-30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,Survey 1
Dresses and skirts,22,Modal,71-80%,35,Polyester,21-30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,22,Modal,71-80%,35,Polyester,10-20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,22,Modal,71-80%,35,Polyester,10-20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Survey 1
Dresses and skirts,30,Polyamide/nylon,91-100%,43,Elastane/spandex,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Survey 1
Dresses and skirts,30,Polyamide/nylon,71-80%,5,Cotton,21-30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,Survey 1
